ratio,amount
0,8941
0.006993006993006993,1
0.007246376811594203,1
0.007633587786259542,1
0.007751937984496124,1
0.007874015748031496,1
0.007936507936507936,1
0.00819672131147541,1
0.008333333333333333,1
0.00847457627118644,1
0.008547008547008548,3
0.008695652173913044,1
0.008771929824561403,1
0.008928571428571428,1
0.009009009009009009,3
0.00909090909090909,1
0.009345794392523364,1
0.009433962264150943,1
0.009615384615384616,2
0.009708737864077669,1
0.00980392156862745,2
0.01,2
0.010101010101010102,5
0.01020408163265306,1
0.010309278350515464,5
0.010416666666666666,2
0.010526315789473684,4
0.010638297872340425,5
0.010752688172043012,2
0.010869565217391304,2
0.01098901098901099,9
0.011111111111111112,6
0.011235955056179775,8
0.011363636363636364,4
0.011494252873563218,1
0.011627906976744186,6
0.011764705882352941,9
0.011904761904761904,6
0.012048192771084338,5
0.012195121951219513,14
0.012345679012345678,10
0.0125,12
0.012658227848101266,11
0.01282051282051282,10
0.012987012987012988,8
0.013157894736842105,11
0.013333333333333334,16
0.013513513513513514,21
0.0136986301369863,10
0.013888888888888888,12
0.013986013986013986,1
0.014084507042253521,24
0.014285714285714285,28
0.014492753623188406,17
0.014705882352941176,21
0.014925373134328358,24
0.015037593984962405,1
0.015151515151515152,25
0.015384615384615385,28
0.015503875968992248,1
0.015625,39
0.015873015873015872,27
0.016129032258064516,37
0.01639344262295082,34
0.01652892561983471,3
0.016666666666666666,37
0.01694915254237288,48
0.017241379310344827,49
0.017391304347826087,1
0.017543859649122806,52
0.017857142857142856,44
0.018018018018018018,2
0.01818181818181818,50
0.01834862385321101,2
0.018518518518518517,50
0.018691588785046728,2
0.018867924528301886,55
0.01904761904761905,8
0.019230769230769232,71
0.019417475728155338,7
0.0196078431372549,64
0.019801980198019802,3
0.02,73
0.020202020202020204,7
0.02040816326530612,73
0.020618556701030927,10
0.020833333333333332,86
0.021052631578947368,3
0.02127659574468085,100
0.021505376344086023,4
0.02158273381294964,1
0.021739130434782608,83
0.02197802197802198,9
0.022222222222222223,102
0.02247191011235955,9
0.022727272727272728,110
0.022900763358778626,1
0.022988505747126436,17
0.023255813953488372,123
0.023529411764705882,9
0.023622047244094488,2
0.023809523809523808,134
0.024,2
0.024096385542168676,7
0.024193548387096774,2
0.024390243902439025,138
0.024691358024691357,12
0.024793388429752067,1
0.025,157
0.025210084033613446,1
0.02531645569620253,17
0.025423728813559324,3
0.02564102564102564,128
0.02586206896551724,1
0.025974025974025976,20
0.02608695652173913,1
0.02631578947368421,153
0.026490066225165563,1
0.02654867256637168,3
0.02666666666666667,21
0.026785714285714284,2
0.02702702702702703,167
0.02727272727272727,1
0.0273972602739726,35
0.027777777777777776,164
0.028037383177570093,3
0.028169014084507043,20
0.02830188679245283,8
0.028368794326241134,1
0.02857142857142857,204
0.028846153846153848,4
0.028985507246376812,38
0.02912621359223301,5
0.029411764705882353,206
0.02962962962962963,1
0.0297029702970297,7
0.029850746268656716,29
0.03,10
0.03007518796992481,1
0.030303030303030304,239
0.03048780487804878,1
0.030612244897959183,5
0.03076923076923077,35
0.030927835051546393,7
0.031007751937984496,1
0.03125,266
0.031496062992125984,1
0.031578947368421054,12
0.031746031746031744,55
0.03184713375796178,1
0.031914893617021274,13
0.03205128205128205,1
0.03225806451612903,228
0.03260869565217391,9
0.03278688524590164,39
0.03296703296703297,14
0.03305785123966942,2
0.03333333333333333,278
0.03355704697986577,1
0.03361344537815126,4
0.033707865168539325,13
0.033783783783783786,2
0.03389830508474576,58
0.03409090909090909,9
0.03418803418803419,2
0.034482758620689655,305
0.034722222222222224,1
0.034782608695652174,6
0.03488372093023256,21
0.03496503496503497,1
0.03508771929824561,66
0.03529411764705882,18
0.035398230088495575,2
0.03571428571428571,311
0.036036036036036036,2
0.03614457831325301,25
0.03636363636363636,61
0.0364963503649635,2
0.036585365853658534,15
0.03669724770642202,4
0.037037037037037035,322
0.037267080745341616,1
0.037383177570093455,3
0.0375,22
0.03759398496240601,1
0.03773584905660377,66
0.0379746835443038,25
0.0380952380952381,5
0.038461538461538464,403
0.03875968992248062,1
0.038834951456310676,4
0.03896103896103896,33
0.0390625,1
0.0392156862745098,69
0.03937007874015748,3
0.039473684210526314,32
0.039603960396039604,6
0.03968253968253968,2
0.04,422
0.040268456375838924,1
0.04032258064516129,2
0.04040404040404041,12
0.04054054054054054,35
0.04065040650406504,3
0.04081632653061224,103
0.040983606557377046,3
0.0410958904109589,43
0.041176470588235294,1
0.041237113402061855,14
0.041666666666666664,432
0.04201680672268908,2
0.042105263157894736,13
0.04225352112676056,38
0.0423728813559322,3
0.0425531914893617,120
0.042735042735042736,2
0.04285714285714286,47
0.043010752688172046,19
0.04310344827586207,5
0.043478260869565216,440
0.043795620437956206,4
0.043859649122807015,4
0.04395604395604396,9
0.04411764705882353,37
0.04419889502762431,1
0.04424778761061947,5
0.044444444444444446,135
0.044642857142857144,4
0.04477611940298507,47
0.0449438202247191,14
0.04504504504504504,5
0.045112781954887216,1
0.04516129032258064,1
0.045454545454545456,528
0.0457516339869281,1
0.04580152671755725,2
0.045871559633027525,14
0.04597701149425287,18
0.046153846153846156,40
0.046296296296296294,8
0.046511627906976744,125
0.04666666666666667,1
0.04672897196261682,7
0.046875,50
0.047058823529411764,21
0.04716981132075472,7
0.047244094488188976,2
0.047619047619047616,499
0.048,3
0.04807692307692308,6
0.04819277108433735,22
0.04838709677419355,59
0.04854368932038835,9
0.04878048780487805,174
0.04895104895104895,1
0.049019607843137254,10
0.049079754601226995,1
0.04918032786885246,71
0.04929577464788732,2
0.04938271604938271,22
0.04950495049504951,10
0.049586776859504134,4
0.05,580
0.050359712230215826,1
0.05042016806722689,6
0.050505050505050504,12
0.05063291139240506,17
0.050724637681159424,1
0.05084745762711865,70
0.05102040816326531,8
0.051094890510948905,1
0.05128205128205128,166
0.051470588235294115,4
0.05154639175257732,11
0.05172413793103448,57
0.05194805194805195,27
0.05202312138728324,1
0.052083333333333336,15
0.05217391304347826,7
0.05223880597014925,3
0.05263157894736842,636
0.05309734513274336,12
0.05319148936170213,6
0.05333333333333334,38
0.05343511450381679,1
0.05357142857142857,77
0.053763440860215055,14
0.05384615384615385,2
0.05405405405405406,190
0.05426356589147287,2
0.05434782608695652,21
0.05454545454545454,73
0.0546875,4
0.0547945205479452,46
0.054945054945054944,19
0.05504587155963303,11
0.05511811023622047,1
0.05517241379310345,1
0.05555555555555555,676
0.055944055944055944,1
0.056,1
0.056074766355140186,9
0.056179775280898875,12
0.056338028169014086,45
0.056451612903225805,3
0.05660377358490566,107
0.056818181818181816,22
0.056910569105691054,4
0.05714285714285714,205
0.05737704918032787,4
0.05747126436781609,22
0.05755395683453238,2
0.057692307692307696,87
0.05785123966942149,4
0.057971014492753624,47
0.05806451612903226,1
0.05813953488372093,21
0.05825242718446602,10
0.058333333333333334,4
0.058823529411764705,723
0.05925925925925926,2
0.059322033898305086,3
0.0594059405940594,13
0.05952380952380952,20
0.05970149253731343,52
0.05982905982905983,4
0.06,113
0.06015037593984962,1
0.060240963855421686,21
0.0603448275862069,8
0.06040268456375839,1
0.06060606060606061,265
0.06086956521739131,5
0.06097560975609756,24
0.061068702290076333,4
0.06111111111111111,1
0.061224489795918366,120
0.06140350877192982,12
0.06153846153846154,53
0.06164383561643835,2
0.06172839506172839,26
0.061855670103092786,8
0.061946902654867256,10
0.06201550387596899,4
0.062111801242236024,2
0.0625,735
0.06293706293706294,3
0.06299212598425197,3
0.06306306306306306,6
0.06315789473684211,17
0.06329113924050633,26
0.06349206349206349,55
0.06363636363636363,7
0.06382978723404255,129
0.064,3
0.0641025641025641,22
0.06422018348623854,8
0.06428571428571428,3
0.06451612903225806,249
0.06474820143884892,3
0.06481481481481481,10
0.06493506493506493,32
0.06504065040650407,5
0.06521739130434782,127
0.06535947712418301,1
0.06542056074766354,11
0.06557377049180328,64
0.06569343065693431,4
0.06578947368421052,44
0.06593406593406594,21
0.0660377358490566,12
0.06611570247933884,6
0.0661764705882353,5
0.06622516556291391,1
0.06666666666666667,779
0.06711409395973154,2
0.06716417910447761,2
0.06722689075630252,4
0.0673076923076923,7
0.06741573033707865,16
0.06756756756756757,20
0.06766917293233082,2
0.06779661016949153,71
0.06796116504854369,15
0.06802721088435375,1
0.06818181818181818,151
0.06832298136645963,1
0.06837606837606838,7
0.0684931506849315,58
0.06862745098039216,18
0.06870229007633588,2
0.06875,1
0.06896551724137931,292
