_id,overall_stats.avg_battle_values.avg_kd
1000025569,1.78
1000025571,1.89
1000025587,1.46
1000025667,1.1
1000025704,1.16
1000025705,1.65
1000026501,1.56
1000026805,1.04
1000026862,1.42
1000026967,0.8
1000027002,1.47
1000027016,2.31
1000027071,1.16
1000027114,2.91
1000027156,0.64
1000027246,1.29
1000027295,2.1
1000027309,1.37
1000027319,0.9
1000027331,1.17
1000027391,0.8
1000027510,0.51
1000027527,2.26
1000027592,0.99
1000027611,1.95
1000027666,2.45
1000027689,1.63
1000027702,1.9
1000028062,0.85
1000028099,0.82
1000028157,1.96
1000028294,0.55
1000028433,1.86
1000028488,0.81
1000028522,1.27
1000028523,1.03
1000028525,1.96
1000028535,1.57
1000028544,1.32
1000028582,1.14
1000028587,1.39
1000028609,0.72
1000028676,1.19
1000028698,1.15
1000028708,0.83
1000028731,1.04
1000028755,1.75
1000028789,0.8
1000028796,1.46
1000028798,1.92
1000028835,1.01
1000028839,1.64
1000028895,1.93
1000028927,0.74
1000028975,0.47
1000028979,0.87
1000028983,1.36
1000029057,0.93
1000029059,1.61
1000029077,0.42
1000029106,1.29
1000029108,0.52
1000029185,2.06
1000029222,1.14
1000029245,1.27
1000029579,1.38
1000029778,1.46
1000029782,2.83
1000029807,1.23
1000029864,1.35
1000029993,1.35
1000030009,2.83
1000030047,2.31
1000030051,1.03
1000030086,2.11
1000030088,3.12
1000030147,1.52
1000030161,1.94
1000030185,0.97
1000030189,0.74
1000030194,1.36
1000030205,1.81
1000030263,1.26
1000030272,1.33
1000030287,1.01
1000030296,0.69
1000030327,0.93
1000030400,1.18
1000030417,2.27
1000030514,0.98
1000030633,1.47
1000030727,0.95
1000030951,1.47
1000031016,1.06
1000031156,1.88
1000031222,0.84
1000031240,0.54
1000031246,2.6
1000031254,0.63
1000031280,1.18
1000031282,1.71
1000031296,0.96
1000031348,1.14
1000031361,0.52
1000031401,1.45
1000031411,1.83
1000031430,1.18
1000031476,1.7
1000031486,1.25
1000031583,0.64
1000031609,1.04
1000031775,3.35
1000031872,1.27
1000032000,0.87
1000032048,1.22
1000032055,1.64
1000032194,1.31
1000032209,2.07
1000032236,1.08
1000032279,0.85
1000032291,1.16
1000032301,1.52
1000032311,1.66
1000032321,0.66
1000032362,0.6
1000032382,0.78
1000032392,1.01
1000032455,2.68
1000032588,1.02
1000032624,1.08
1000032831,1.7
1000033083,0.91
1000033096,1.03
1000033133,2.14
1000033141,0.9
1000033146,3.12
1000033157,2.92
1000033162,0.6
1000033181,0.49
1000033196,1.16
1000033254,1.09
1000033538,1.03
1000033608,1.26
1000033612,1.14
1000033899,1.52
1000034086,2.34
1000034148,2.08
1000034233,0.61
1000034308,1.27
1000034312,1.04
1000034376,1.31
1000034384,0.88
1000034389,1.02
1000034410,1.47
1000034482,0.38
1000034672,1.01
1000034685,1.34
1000034855,0.45
1000035070,2.01
1000035155,1.4
1000035188,0.4
1000035194,0.73
1000035286,1.63
1000035319,1.72
1000035488,2.07
1000035489,1.02
1000035528,1.31
1000035529,1.44
1000035603,1.66
1000035637,1.1
1000035666,1.36
1000035667,0.96
1000035809,1.81
1000035874,0.95
1000035889,0.83
1000035957,1.68
1000035961,0.71
1000035963,1.47
1000035995,0.93
1000036024,1.41
1000036041,0.74
1000036118,0.78
1000036130,3.72
1000036131,1.68
1000036326,1.9
1000036492,0.66
1000036757,0.75
1000036768,0.71
1000036815,0.74
1000036926,1.6
1000037006,0.89
1000037054,1.87
1000037073,0.55
1000037135,2.63
1000037141,1.39
1000037187,1.23
1000037207,1.39
1000037213,1.06
1000037231,2.61
1000037232,1.96
1000037242,2.37
1000037275,1.17
1000037560,1.13
1000037720,0.82
1000037747,2.42
1000037778,0.67
1000037895,0.66
1000037976,0.88
1000038077,0.79
1000038498,2.1
1000038591,1.17
1000038689,1.05
1000038714,0.59
1000038776,0.71
1000038781,1.12
1000038783,1.52
1000038841,1.84
1000038951,1.15
1000038961,0.31
1000038969,1.46
1000039139,0.74
1000039147,0.7
1000039279,0.95
1000039310,0.82
1000039379,0.96
1000039675,1.21
1000039897,1.78
1000039908,1.87
1000039956,1.47
1000039961,1.62
1000039990,0.58
1000040004,0.69
1000040020,1
1000040053,1.62
1000040065,0.4
1000040111,1.33
1000040113,1.31
1000040319,1.49
1000040339,0.52
1000040437,0.86
1000040519,0.52
1000040572,0.95
1000040604,1.39
1000040630,0.99
1000040638,1.54
1000040640,1.63
1000040728,1.51
1000040780,1.19
1000040807,0.65
1000040850,1.38
1000040901,1.01
1000040947,1.57
1000041051,1.96
1000041056,1.17
1000041180,0.9
1000041190,0.91
1000041214,0.9
1000041278,1.23
1000041283,1.9
1000041302,0.85
1000041319,0.95
1000041337,1.78
1000041357,0.72
1000041526,0.84
1000041576,1.51
1000041766,1.46
1000041849,1.14
1000042087,1.06
1000042130,2.23
1000042229,1.02
1000042508,1.36
1000042543,0.78
1000042556,1.2
1000042642,2.12
1000042658,0.88
1000042675,0.92
1000042721,1.12
1000042751,1.83
1000042763,1.03
1000042798,1.59
1000042808,0.87
1000042815,0.92
1000042823,1.16
1000042888,0.81
1000042987,1.11
1000043307,1.31
1000043648,1.62
1000043706,1.42
1000043760,0.55
1000043843,0.97
1000043900,2.2
1000043938,0.78
1000043943,1.59
1000043956,0.45
1000043986,0.65
1000044173,1.73
1000044385,1.11
1000044433,1.41
1000044532,0.82
1000044566,0.92
1000044633,1.24
1000044638,1.19
1000044785,0.47
1000044933,1.48
1000044975,0.7
1000044977,1.11
1000044979,2.03
1000044984,1.35
1000045048,0.87
1000045592,0.92
1000045754,1.17
1000045760,1.52
1000045940,0.74
1000045958,0.81
1000045970,1.75
1000045978,0.69
1000045983,2.48
1000045994,0.93
1000046013,0.66
1000046036,0.46
1000046210,1.95
1000046213,1.19
1000046304,0.47
1000046432,0.58
1000046587,0.64
1000046606,1.43
1000046625,0.63
1000046818,2.02
1000046852,1.56
1000047007,0.76
1000047037,1.56
1000047150,0.63
1000047163,1.05
1000047210,2.27
1000047246,0.77
1000047289,0.77
1000047301,1.55
1000047359,1.39
1000047366,1.24
1000047407,1.13
1000048222,1.12
1000048377,0.99
1000049135,1.07
1000049230,1.37
1000049334,1.33
1000049385,3.63
1000049386,0.73
1000049414,0.61
1000049456,1.25
