_id,overall_stats.avg_battle_values.avg_spot_dmg
1000028698,14393
1000028708,9484
1000028731,17873
1000028755,18545
1000028789,14236
1000028796,19774
1000028798,28514
1000028835,17360
1000028839,16309
1000028895,26651
1000028927,12519
1000028975,10859
1000028979,15420
1000028983,13799
1000029057,9347
1000029059,14659
1000029077,14200
1000029106,24381
1000029108,17842
1000029185,21794
1000029222,20982
1000029245,13698
1000029579,19267
1000029778,21796
1000029782,38705
1000029807,14392
1000029864,0
1000029993,26069
1000030009,20846
1000030047,23747
1000030051,5973
1000030086,17539
1000030088,34416
1000030147,18358
1000030161,30628
1000030185,19740
1000030189,19514
1000030194,15170
1000030205,21385
1000030263,26941
1000030272,21884
1000030287,16557
1000030296,15555
1000030327,14016
1000030400,16399
1000030417,32590
1000030514,17034
1000030633,19688
1000030727,11543
1000030951,5847
1000031016,30334
1000031156,0
1000031222,14750
1000031240,0
1000031246,20844
1000031254,13666
1000031280,15587
1000031282,23982
1000031296,14609
1000031348,10651
1000031361,8666
1000031401,35291
1000031411,18904
1000031430,18451
1000031476,12592
1000031486,19342
1000031583,0
1000031609,15600
1000031775,11971
1000031872,10776
1000032000,15860
1000032048,6113
1000032055,21211
1000032194,23071
1000032209,26295
1000032236,3578
1000032279,25771
1000032291,17786
1000032301,12827
1000032311,38746
1000032321,14371
1000032362,13706
1000032382,15956
1000032392,17039
1000032455,22034
1000032588,22519
1000032624,19262
1000032831,22153
1000033083,20464
1000033096,13890
1000033133,34038
1000033141,8640
1000033146,29675
1000033157,28791
1000033162,14602
1000033181,16054
1000033196,19707
1000033254,24201
1000033538,20338
1000033608,23038
1000033612,12173
1000033899,21208
1000034086,19190
1000034148,23759
1000034233,11167
1000034308,31598
1000034312,20930
1000034376,19261
1000034384,13648
1000034389,18279
1000034410,21949
1000034482,10918
1000034672,16379
1000034685,24139
1000034855,17028
1000035070,13798
1000035155,26097
1000035188,7854
1000035194,14449
1000035286,15196
1000035319,12147
1000035488,24049
1000035489,12454
1000035528,21533
1000035529,14956
1000035603,18610
1000035637,11692
1000035666,14542
1000035667,16196
1000035809,20958
1000035874,19184
1000035889,12788
1000035957,18521
1000035961,8126
1000035963,21355
1000035995,19414
1000036024,14211
1000036041,13381
1000036118,15531
1000036130,10395
1000036131,22934
1000036326,34567
1000036492,32221
1000036757,6074
1000036768,9777
1000036815,11180
1000036926,17153
1000037006,33931
1000037054,21168
1000037073,13912
1000037135,18371
1000037141,16346
1000037187,15791
1000037207,24317
1000037213,18809
1000037231,26454
1000037232,27676
1000037242,23652
1000037275,11014
1000037560,11381
1000037720,15610
1000037747,23432
1000037778,14125
1000037895,8799
1000037976,18394
1000038077,15024
1000038498,21695
1000038591,11626
1000038689,23854
1000038714,23557
1000038776,21734
1000038781,29398
1000038783,24814
1000038841,20688
1000038951,17628
1000038961,7310
1000038969,6483
1000039139,16860
1000039147,12072
1000039279,6407
1000039310,14717
1000039379,6678
1000039675,10922
1000039897,23564
1000039908,18773
1000039956,11129
1000039961,26966
1000039990,13749
1000040004,14192
1000040020,19098
1000040053,21277
1000040065,9251
1000040111,21769
1000040113,18954
1000040319,13368
1000040339,9339
1000040437,19384
1000040519,12228
1000040572,16621
1000040604,14820
1000040630,15080
1000040638,20903
1000040640,16622
1000040728,15172
1000040780,16936
1000040807,15779
1000040850,9698
1000040901,5912
1000040947,23896
1000041051,14151
1000041056,16766
1000041180,18132
1000041190,6602
1000041214,21856
1000041278,9928
1000041283,21813
1000041302,19805
1000041319,11403
1000041337,23893
1000041357,8673
1000041526,12992
1000041576,30709
1000041766,21994
1000041849,17415
1000042087,11938
1000042130,30466
1000042229,14911
1000042508,25459
1000042543,11747
1000042556,33370
1000042642,24379
1000042658,5659
1000042675,15165
1000042721,19203
1000042751,19046
1000042763,11272
1000042798,20400
1000042808,24925
1000042815,15844
1000042823,16141
1000042888,22837
1000042987,10498
1000043307,22217
1000043648,22698
1000043706,17822
1000043760,5406
1000043843,16154
1000043900,28965
1000043938,12523
1000043943,17326
1000043956,12055
1000043986,14576
1000044173,28133
1000044385,21197
1000044433,26798
1000044532,15027
1000044566,14224
1000044633,20511
1000044638,18026
1000044785,10588
1000044933,10804
1000044975,14467
1000044977,17845
1000044979,17640
1000044984,20013
1000045048,10785
1000045592,19781
1000045754,9788
1000045760,25740
1000045940,14466
1000045958,16112
1000045970,18740
1000045978,17479
1000045983,15374
1000045994,17634
1000046013,11650
1000046036,9087
1000046210,37982
1000046213,17301
1000046304,7802
1000046432,15759
1000046587,16957
1000046606,10841
1000046625,14771
1000046818,28820
1000046852,15068
1000047007,20281
1000047037,13953
1000047150,11925
1000047163,14972
1000047210,26603
1000047246,15250
1000047289,13380
1000047301,16306
1000047359,12151
1000047366,18378
1000047407,11830
1000048222,19645
1000048377,40983
1000049135,11315
1000049230,28718
1000049334,19688
1000049385,17225
1000049386,11655
1000049414,17444
1000049456,13335
1000049542,6064
1000049545,24356
1000049548,18232
1000050008,14056
1000050158,22873
1000050468,12005
1000050549,8991
1000050605,13382
1000050820,12731
1000050909,13241
1000050916,10976
1000050923,29764
1000050942,26401
1000050992,15662
1000051005,11318
1000051059,12912
1000051082,12344
1000051095,17345
1000051488,25928
1000051495,5413
1000051618,23726
1000051720,14738
1000051728,26187
1000051757,22278
1000051809,14497
1000052236,12233
1000052240,13214
1000052311,21448
1000052426,14405
1000052456,8709
1000052463,15327
1000052481,21129
1000052502,40954
1000052683,19012
1000052959,22959
1000053447,17984
1000053463,18578
1000053468,18250
1000053478,14306
1000053557,11118
1000053561,25051
1000053598,18114
1000053618,20660
1000053620,19420
1000053640,18358
1000053651,9471
1000053672,23088
1000053678,12169
1000053682,18721
1000053823,16580
1000054106,18843
1000054405,15808
1000054446,17358
1000054466,21400
1000054510,27148
1000054532,20496
1000054593,26963
1000054701,14568
1000054710,10590
1000054713,22068
1000054723,16295
1000054728,17907
1000054737,13970
1000054751,13272
1000054755,20908
1000054812,20522
1000054842,448715
1000054848,21856
1000055112,57219
1000055175,19724
1000055333,14042
1000055403,19296
1000055577,18244
1000055594,14584
1000055654,18716
1000055656,14928
1000055699,12656
1000055842,30423
1000055896,16986
1000055898,14129
1000055928,17217
1000055933,0
1000055944,23028
1000055947,11520
1000056044,15505
1000056101,22516
1000056200,39746
1000056437,10807
1000056493,13033
1000056577,17534
1000056693,19894
1000056710,17084
1000056778,35788
1000056862,14376
1000057139,17605
1000057183,35699
1000057185,13108
1000057199,20926
1000057435,12908
1000057502,10639
1000057594,12156
1000057938,16766
1000058036,17597
1000058120,10466
1000058163,39207
1000058175,24190
1000058341,16320
1000058420,16980
1000058477,15675
1000058916,42297
1000059232,19842
1000059480,12878
1000059669,22726
1000059693,18881
1000059710,18517
1000059783,19287
1000059798,15377
1000059883,24836
1000059892,21686
1000059904,11742
1000059958,19644
1000059978,17291
1000059987,23995
1000060262,22741
1000060314,18604
1000060382,18435
1000060426,15157
1000060441,16376
1000060449,15770
1000060464,13175
1000060539,23540
1000060572,17827
1000060592,21244
1000060606,18998
1000060676,14360
1000060915,7486
1000061119,8652
1000061142,18051
1000061159,11736
1000061168,10629
1000061347,16286
1000061355,13033
1000061432,7528
1000061441,15928
1000061474,11945
1000061485,16811
1000061497,15528
1000061499,17249
1000061505,26107
1000061538,20778
1000061941,24388
1000061997,17649
1000062074,21938
1000062198,13931
1000062200,17828
1000062334,22451
1000062410,31268
1000062513,20137
1000062548,16488
1000062558,18062
1000062630,8495
1000063078,19365
1000063154,16195
1000063251,10718
1000063389,20941
1000063451,6970
1000063467,16694
1000063488,21682
1000063637,9825
1000063653,15926
1000063882,13398
1000064032,19306
1000064061,16485
1000064132,35694
1000064383,17437
1000064443,28380
1000064446,25649
1000064482,19744
1000064522,17573
1000064540,12858
1000064555,13196
1000064563,18521
1000064591,24352
1000064638,22508
1000064655,18000
1000064726,14850
1000065234,13187
1000065551,11278
1000065640,20122
1000065733,14798
1000065782,13588
1000065830,15803
1000065834,13007
1000065940,32626
1000066130,27827
1000066285,42954
1000066337,23192
1000066422,20608
1000066699,21368
1000066702,12997
1000066777,15712
1000066800,17356
1000066828,11512
1000066829,19325
1000066850,19501
1000066863,15676
1000067188,14772
1000067287,18512
1000067377,17845
1000067478,11405
1000067508,10159
1000067568,14812
1000067601,12990
1000067611,10754
1000067620,19112
1000067782,14926
1000067830,11775
1000067860,21527
1000067969,10181
1000068014,10389
1000068183,22358
1000068225,20177
1000068247,23280
1000068290,17396
1000068464,16164
1000068633,17682
1000068699,19219
1000068702,9839
1000068761,16198
1000068785,13560
1000068788,17864
1000068792,15875
1000068929,23875
1000069053,28086
1000069067,15648
1000069312,19217
1000069401,6920
1000069450,15001
1000069517,11617
1000069553,9140
1000069856,14523
1000069965,19846
1000069971,17217
1000070001,16692
1000070017,19382
1000070022,18659
1000070046,19125
1000070083,10216
1000070236,18045
1000070670,16717
1000070699,15557
1000070749,11770
1000070792,16493
1000070899,18430
1000071005,7129
1000071019,13339
1000071189,20796
1000071311,18819
1000071316,10714
1000071354,14879
1000071395,23555
1000071410,12721
1000071610,17315
1000071629,21887
1000071738,21581
1000071747,19414
1000071750,11965
1000071768,28263
1000071772,63028
1000072000,11665
1000072030,24527
1000072266,17516
1000072462,11037
1000072469,22226
1000072490,12705
1000072818,13737
1000072884,22016
1000072983,12109
1000073153,29673
1000073157,12899
1000073352,7839
1000073480,22640
1000073493,22405
1000073529,12235
1000073634,14604
1000073732,13761
1000073770,20346
1000073776,8621
1000073966,15921
1000074151,16784
1000074253,16461
1000074275,12716
1000074285,12210
1000074405,27188
1000074471,19682
1000074495,12292
1000074561,19871
1000074564,22389
1000074775,11170
1000074821,8116
1000075064,20372
1000075147,18312
1000075223,12520
1000075279,13272
1000075345,17905
1000075403,23111
1000075452,14142
1000075522,8543
1000075566,17325
1000075567,12939
1000075637,13497
1000075655,14097
1000075723,10632
1000075740,11417
1000075742,17717
1000075760,11726
1000075769,20572
1000075795,15719
1000075819,11619
1000075824,23762
1000075914,14568
1000075929,17000
1000075976,20954
1000075985,17471
1000076013,14582
1000076035,14953
1000076075,12843
1000076127,17354
1000076185,16759
1000076200,15037
1000076262,13988
1000076293,15872
1000076324,11092
1000076335,12369
1000076342,31154
1000076383,20071
1000076387,15262
1000076398,28064
1000076431,12467
1000076432,16724
1000076488,6774
1000076505,14906
1000076522,17300
1000076579,14935
1000076612,12089
1000076645,18028
1000076663,15888
1000076677,17049
1000076707,14820
1000076750,17881
1000076781,12235
1000076875,16186
1000076976,10913
1000077082,17762
1000077097,24468
1000077229,12960
1000077268,11463
1000077307,18598
1000077355,13452
1000077465,11359
1000077509,17897
1000077527,10744
1000077560,29370
1000077628,24991
1000077673,8172
1000077846,19248
1000077987,17467
1000078124,18377
1000078184,15454
1000078414,14082
1000078580,21352
1000078800,20721
1000079205,16514
1000079220,15583
1000079260,17884
1000079282,11179
1000079311,17085
1000079340,21342
1000079352,20940
1000079360,15102
1000079366,13108
1000079441,14216
1000079624,6311
1000080084,11629
1000080126,26076
1000080378,22853
1000080408,29184
1000080463,10220
1000080515,20064
1000080613,20540
1000080707,13050
1000080725,9790
1000080731,24809
1000080750,9749
1000080760,26496
1000080793,19884
1000080807,24549
1000080873,29576
1000080971,27199
1000080980,18734
1000081110,31635
1000081500,8602
1000081538,20073
1000081676,13621
1000081727,19217
1000081774,15592
1000081778,16002
1000081830,9782
1000081845,26357
1000081927,16192
1000081931,11956
1000081966,17870
1000081998,12184
1000082020,21205
1000082189,16146
1000082306,13201
1000082558,19740
1000082863,19171
1000082926,0
1000082970,18141
1000083025,12624
1000083097,42243
1000083296,28460
1000083634,21289
1000083731,22495
1000083742,29667
1000083751,11724
1000083773,18124
1000083892,21191
1000084183,24324
1000084188,16555
1000084422,8247
1000084747,12830
1000084854,22201
1000084858,11094
1000084887,16452
1000084893,12527
1000085012,18741
1000085023,13466
1000085114,15907
1000085154,13620
1000085177,14889
1000085239,20446
1000085252,25848
1000085268,17371
1000085391,17569
1000085857,18563
1000085880,19577
1000085884,17936
1000085947,17486
1000086048,12956
1000086139,13183
1000086244,16068
1000086267,17592
1000086331,21239
1000086482,16524
1000086553,16464
1000086651,23306
1000086701,14975
1000086795,18633
1000086927,10564
1000086938,13187
1000087184,25002
1000087239,24863
1000087329,23856
1000087342,21669
1000087445,9107
1000087487,15022
1000087501,9986
1000087507,28928
1000087546,18700
1000087584,30493
1000087643,17377
1000087796,20056
1000087820,19082
1000087953,19936
1000088035,24599
1000088108,12799
1000088128,17204
1000088201,0
1000088230,17230
1000088303,26891
1000088479,16400
1000088505,27912
1000088624,14657
1000088670,14779
1000088722,20212
1000088764,19394
1000088800,16921
1000088899,8361
1000089059,19186
1000089139,11006
1000089429,14845
1000089492,30986
1000089495,19648
1000089652,34084
1000089688,20394
1000089715,19080
1000089729,33302
1000089780,30295
1000089808,34461
1000089855,20554
1000089919,17920
1000089934,18461
1000089952,10180
1000089978,14150
1000089993,12050
1000090007,23542
1000090090,8359
1000090157,15369
1000090185,26122
1000090478,44379
1000090745,12288
1000090952,21993
1000090972,16856
1000090990,22157
1000091081,17248
1000091207,17322
1000091214,12028
1000091230,31112
1000091328,11200
1000091393,17817
