_id,overall_stats.avg_battle_values.avg_shoot_down
1000025544,2.59
1000025569,1.49
1000025571,0.79
1000025587,1.97
1000025667,0.73
1000025704,1.9
1000025705,1.12
1000026501,2.06
1000026805,4.69
1000026862,1.24
1000026967,1.89
1000027002,1.28
1000027016,2.03
1000027071,1.46
1000027114,2.75
1000027156,0.74
1000027246,1.44
1000027295,1.82
1000027309,1.8
1000027319,1.48
1000027331,1.31
1000027391,1.46
1000027510,0.62
1000027527,4.32
1000027592,3.34
1000027611,2.56
1000027666,3.32
1000027689,1.94
1000027702,1.63
1000028062,1.41
1000028099,1.1
1000028157,1.27
1000028294,0.79
1000028433,2.11
1000028488,1.51
1000028522,0.57
1000028523,1.32
1000028525,2.09
1000028535,0.64
1000028544,1.29
1000028582,1.7
1000028587,2.15
1000028609,2.11
1000028676,2.01
1000028698,1.63
1000028708,0.75
1000028731,2.54
1000028755,1.09
1000028789,1.32
1000028796,1.26
1000028798,2.05
1000028835,1.65
1000028839,2.41
1000028895,2.53
1000028927,1.66
1000028975,1.4
1000028979,1.25
1000028983,1.39
1000029057,1.71
1000029059,2.4
1000029077,0.33
1000029106,1.31
1000029108,0.15
1000029185,2.46
1000029222,1.92
1000029245,2.83
1000029579,1.33
1000029778,1.29
1000029782,8.07
1000029807,1.66
1000029864,1.43
1000029993,1.93
1000030009,3.5
1000030047,1.85
1000030051,0.52
1000030086,1.16
1000030088,3.86
1000030147,3.43
1000030161,2.13
1000030185,0.75
1000030189,1.46
1000030194,1.51
1000030205,2.07
1000030263,5.24
1000030272,2.72
1000030287,2.14
1000030296,2.89
1000030327,1.64
1000030400,1.84
1000030417,1.46
1000030514,1.27
1000030633,0.91
1000030727,1.84
1000030951,1.26
1000031016,7.32
1000031156,1.72
1000031222,0.82
1000031240,2.75
1000031246,1.99
1000031254,2.55
1000031280,1.48
1000031282,2.9
1000031296,1.36
1000031348,1.21
1000031361,0.27
1000031401,3.35
1000031411,0.24
1000031430,1.65
1000031476,0.89
1000031486,1.36
1000031583,0.72
1000031609,1.35
1000031775,6.45
1000031872,1.61
1000032000,1.96
1000032048,0.24
1000032055,1.32
1000032194,0.75
1000032209,2.68
1000032236,0.01
1000032279,0.78
1000032291,1.44
1000032301,1.43
1000032311,0.39
1000032321,1.46
1000032362,0.83
1000032382,1.66
1000032392,2.27
1000032455,2.16
1000032588,1.17
1000032624,1.29
1000032831,2.2
1000033083,2.76
1000033096,0.99
1000033133,5.74
1000033141,1.37
1000033146,2.6
1000033157,4.55
1000033162,0.74
1000033181,0.81
1000033196,3.26
1000033254,2.23
1000033538,1.92
1000033608,2.25
1000033612,2.19
1000033899,1.19
1000034086,1.35
1000034148,1.77
1000034233,1.22
1000034308,3.13
1000034312,1.58
1000034376,1.13
1000034384,0.95
1000034389,1.64
1000034410,1.92
1000034482,1.19
1000034672,1.52
1000034685,1.63
1000034855,0.97
1000035070,1.4
1000035155,2.02
1000035188,0.07
1000035194,1.56
1000035286,1.33
1000035319,1.51
1000035488,2.25
1000035489,2.01
1000035528,1.52
1000035529,0.95
1000035603,1.9
1000035637,1.33
1000035666,0.94
1000035667,1.53
1000035809,2.94
1000035874,3.05
1000035889,1.88
1000035957,2.43
1000035961,1.2
1000035963,1.36
1000035995,1.71
1000036024,1.1
1000036041,0.84
1000036118,1.43
1000036130,1.45
1000036131,1.87
1000036326,3.66
1000036492,0.82
1000036757,0.45
1000036768,0.67
1000036815,1.31
1000036926,0.89
1000037006,4.98
1000037054,3.08
1000037073,0.61
1000037135,3.21
1000037141,1.2
1000037187,1.94
1000037207,3.73
1000037213,1.18
1000037231,1.33
1000037232,1.93
1000037242,1.92
1000037275,1.76
1000037560,2.51
1000037720,1.42
1000037747,1.41
1000037778,1.18
1000037895,0.43
1000037976,1.7
1000038077,2.27
1000038498,2.11
1000038591,0.89
1000038689,0.43
1000038714,2.18
1000038776,1.05
1000038781,3.51
1000038783,1.54
1000038841,1.15
1000038951,2.55
1000038961,1.43
1000038969,1.18
1000039139,1.28
1000039147,1.33
1000039279,0.84
1000039310,1.31
1000039379,2.51
1000039675,0.49
1000039897,2.49
1000039908,1.14
1000039956,1.76
1000039961,2.95
1000039990,1.85
1000040004,1.85
1000040020,1.38
1000040053,2.53
1000040065,1.56
1000040111,1.46
1000040113,1.25
1000040319,2.43
1000040339,1.19
1000040437,1.27
1000040519,1.85
1000040572,1.97
1000040604,1.3
1000040630,1.72
1000040638,3.01
