_id,overall_stats.avg_battle_values.avg_exp
1000029077,531
1000029106,1418
1000029108,695
1000029185,1563
1000029222,1353
1000029245,777
1000029579,1282
1000029778,1085
1000029782,1643
1000029807,1189
1000029864,1042
1000029993,1336
1000030009,1556
1000030047,1367
1000030051,884
1000030086,1507
1000030088,1996
1000030147,1165
1000030161,1704
1000030185,1151
1000030189,1026
1000030194,938
1000030205,1278
1000030263,927
1000030272,1326
1000030287,1171
1000030296,894
1000030327,1203
1000030400,1057
1000030417,1774
1000030514,1183
1000030633,1460
1000030727,907
1000030951,794
1000031016,780
1000031156,745
1000031222,984
1000031240,476
1000031246,1740
1000031254,812
1000031280,1291
1000031282,1294
1000031296,1360
1000031348,938
1000031361,526
1000031401,1490
1000031411,1065
1000031430,1360
1000031476,871
1000031486,1502
1000031583,825
1000031609,1413
1000031775,1214
1000031872,939
1000032000,1123
1000032048,558
1000032055,1375
1000032194,1303
1000032209,1748
1000032236,444
1000032279,840
1000032291,1147
1000032301,1260
1000032311,1071
1000032321,1151
1000032362,925
1000032382,990
1000032392,454
1000032455,1758
1000032588,1006
1000032624,1289
1000032831,1614
1000033083,912
1000033096,896
1000033133,1734
1000033141,788
1000033146,1999
1000033157,1908
1000033162,823
1000033181,833
1000033196,1264
1000033254,1355
1000033538,1140
1000033608,1212
1000033612,811
1000033899,1011
1000034086,952
1000034148,1624
1000034233,736
1000034308,966
1000034312,1404
1000034376,1406
1000034384,848
1000034389,1348
1000034410,1492
1000034482,619
1000034672,1181
1000034685,1593
1000034855,808
1000035070,1111
1000035155,1032
1000035188,444
1000035194,1212
1000035286,1366
1000035319,806
1000035488,1621
1000035489,724
1000035528,1256
1000035529,1208
1000035603,1211
1000035637,795
1000035666,1219
1000035667,1213
1000035809,1663
1000035874,1068
1000035889,1156
1000035957,1168
1000035961,694
1000035963,1044
1000035995,1078
1000036024,921
1000036041,747
1000036118,1262
1000036130,1353
1000036131,1695
1000036326,1750
1000036492,941
1000036757,764
1000036768,673
1000036815,918
1000036926,1018
1000037006,1029
1000037054,1480
1000037073,870
1000037135,1249
1000037141,1068
1000037187,995
1000037207,1260
1000037213,1149
1000037231,1410
1000037232,1957
1000037242,1313
1000037275,777
1000037560,840
1000037720,1073
1000037747,1631
1000037778,924
1000037895,865
1000037976,1269
1000038077,867
1000038498,1672
1000038591,981
1000038689,625
1000038714,797
1000038776,1223
1000038781,1266
1000038783,1065
1000038841,1183
1000038951,1320
1000038961,553
1000038969,823
1000039139,1062
1000039147,891
1000039279,487
1000039310,1175
1000039379,928
1000039675,980
1000039897,1014
1000039908,1672
1000039956,908
1000039961,1439
1000039990,1026
1000040004,904
1000040020,1345
1000040053,1617
1000040065,819
1000040111,1442
1000040113,1397
1000040319,1274
1000040339,714
1000040437,961
1000040519,935
1000040572,797
1000040604,1078
1000040630,750
1000040638,1278
1000040640,1262
1000040728,1311
1000040780,1283
1000040807,817
1000040850,938
1000040901,874
1000040947,1464
1000041051,1411
1000041056,799
1000041180,1084
1000041190,606
1000041214,1304
1000041278,883
1000041283,1564
1000041302,730
1000041319,826
1000041337,1372
1000041357,859
1000041526,835
1000041576,1368
1000041766,1259
1000041849,1383
1000042087,1082
1000042130,1286
1000042229,1171
1000042508,1102
1000042543,1064
1000042556,1062
1000042642,1241
1000042658,678
1000042675,814
1000042721,1445
1000042751,1311
1000042763,1240
1000042798,990
1000042808,1019
1000042815,1216
1000042823,1212
1000042888,1324
1000042987,997
1000043307,1081
1000043648,1395
1000043706,1464
1000043760,475
1000043843,1186
1000043900,1525
1000043938,1107
1000043943,1349
1000043956,832
1000043986,1070
1000044173,1744
1000044385,996
1000044433,1039
1000044532,925
1000044566,1223
1000044633,1394
1000044638,1585
1000044785,741
1000044933,844
1000044975,734
1000044977,1262
1000044979,1481
1000044984,1181
1000045048,648
1000045592,1147
1000045754,942
1000045760,1410
1000045940,676
1000045958,1064
1000045970,1391
1000045978,781
1000045983,1260
1000045994,914
1000046013,1104
1000046036,592
1000046210,1000
1000046213,1399
1000046304,721
1000046432,1114
1000046587,1066
1000046606,1140
1000046625,1015
1000046818,1475
1000046852,1042
1000047007,1196
1000047037,894
1000047150,1308
1000047163,1336
1000047210,1550
1000047246,830
1000047289,901
1000047301,1208
1000047359,1257
1000047366,1521
1000047407,739
1000048222,1367
1000048377,1053
1000049135,1085
1000049230,1478
1000049334,856
1000049385,1571
1000049386,1074
1000049414,1031
1000049456,906
1000049542,498
1000049545,1307
1000049548,1430
1000050008,778
1000050158,1232
1000050468,1175
1000050549,872
1000050605,938
1000050820,1025
1000050909,1194
1000050916,1058
1000050923,1715
1000050942,1225
1000050992,987
1000051005,756
1000051059,1218
1000051082,1113
1000051095,1420
1000051488,794
1000051495,437
1000051618,1519
1000051720,1189
1000051728,927
1000051757,1215
1000051809,1313
1000052236,1002
1000052240,888
1000052311,1540
1000052426,993
1000052456,848
1000052463,1367
1000052481,1326
1000052502,1563
1000052683,1518
1000052959,474
1000053447,1266
1000053463,938
1000053468,1110
1000053478,833
1000053557,1383
1000053561,1611
1000053598,1468
1000053618,1014
1000053620,1447
1000053640,819
1000053651,836
1000053672,1288
1000053678,1052
1000053682,1374
1000053823,1101
1000054106,1288
1000054405,1088
1000054446,1322
1000054466,1617
1000054510,980
1000054532,1509
1000054593,1174
1000054701,752
1000054710,915
1000054713,1435
1000054723,1070
1000054728,1149
1000054737,1222
1000054751,847
1000054755,1702
1000054812,1411
1000054842,948
1000054848,1566
1000055112,1358
1000055175,1361
1000055333,963
1000055403,1208
1000055577,1395
1000055594,1111
1000055654,845
1000055656,1325
1000055699,1035
1000055842,1694
1000055896,1532
1000055898,1178
1000055928,836
1000055933,610
1000055944,1853
1000055947,791
1000056044,1121
1000056101,1063
1000056200,1381
1000056437,1093
1000056493,1198
1000056577,848
1000056693,1047
1000056710,1188
1000056778,1423
1000056862,922
1000057139,1199
1000057183,1757
1000057185,1177
1000057199,929
1000057435,1549
1000057502,583
1000057594,778
1000057938,1416
1000058036,915
1000058120,755
1000058163,1817
1000058175,1306
1000058341,985
1000058420,939
1000058477,1388
1000058916,832
1000059232,1636
1000059480,755
1000059669,1107
1000059693,1532
1000059710,1382
1000059783,1384
1000059798,1059
1000059883,1662
1000059892,1670
1000059904,1122
1000059958,1321
1000059978,1110
1000059987,1471
1000060262,1127
1000060314,1626
1000060382,1521
1000060426,685
1000060441,1164
1000060449,1518
1000060464,746
1000060539,1483
1000060572,1233
1000060592,1588
1000060606,1153
1000060676,1250
1000060915,673
1000061119,768
1000061142,1051
1000061159,963
1000061168,1111
1000061347,1003
1000061355,1002
1000061432,662
1000061441,1526
1000061474,741
1000061485,806
1000061497,1038
1000061499,806
1000061505,1244
1000061538,1916
1000061941,1207
1000061997,1171
1000062074,1631
1000062198,751
1000062200,1130
1000062334,1428
1000062410,925
1000062513,1461
1000062548,877
1000062558,1255
1000062630,906
1000063078,1419
1000063154,1614
1000063251,704
1000063389,1287
1000063451,732
1000063467,1401
1000063488,1073
1000063637,791
1000063653,1336
1000063882,1281
1000064032,1120
1000064061,1154
1000064132,1459
1000064383,1177
1000064443,2033
1000064446,1039
1000064482,1495
1000064522,1079
1000064540,919
1000064555,989
1000064563,1002
1000064591,1227
1000064638,1432
1000064655,1387
1000064726,795
1000065234,1118
1000065551,1014
1000065640,1370
1000065733,1060
1000065782,1144
1000065830,1193
1000065834,733
1000065940,1071
1000066130,1332
1000066285,831
1000066337,1241
1000066422,1512
1000066699,1315
1000066702,744
1000066777,1010
1000066800,1235
1000066828,1164
1000066829,1035
1000066850,1287
1000066863,1218
1000067188,594
1000067287,1513
1000067377,843
1000067478,1074
1000067508,502
1000067568,1381
1000067601,1293
1000067611,1142
1000067620,1510
1000067782,1047
1000067830,807
1000067860,1368
1000067969,711
1000068014,784
1000068183,1575
1000068225,1446
1000068247,1242
1000068290,1675
1000068464,1374
1000068633,893
1000068699,1015
1000068702,751
1000068761,1072
1000068785,1448
1000068788,968
1000068792,997
1000068929,1428
1000069053,961
1000069067,1030
1000069312,1165
1000069401,567
1000069450,1179
1000069517,1237
1000069553,693
1000069856,993
1000069965,1244
1000069971,1424
1000070001,1509
1000070017,987
1000070022,1162
1000070046,1071
1000070083,655
1000070236,1257
1000070670,1377
1000070699,1061
1000070749,1135
1000070792,1291
1000070899,1188
1000071005,774
1000071019,1136
1000071189,1009
1000071311,1076
1000071316,821
1000071354,1224
1000071395,1494
1000071410,980
1000071610,924
1000071629,937
1000071738,1750
1000071747,1149
1000071750,754
1000071768,1884
1000071772,1249
1000072000,774
1000072030,1705
1000072266,1530
1000072462,1339
1000072469,1690
1000072490,1529
1000072818,1029
1000072884,1534
